Mesocosm,Date,fCO2,fCH4,fN2O,Phase,Place,Sal,Temp,Treatment,Mes,Temperature,SPC,Salinity,SatDO,ConcDO,pH,Secchi,Chla,TSS,Alkalinity
Mersin15,15/09/2022,-18.5709677,1.227020797,7.70948679,1PreHW,Mersin,4,YES,pre4HEAT,15,29.1,7.56,4.14,106.5,8.06,9.95,100,10.34,12.6,
Mersin16,15/09/2022,-18.93146241,0.779073835,-95.53818569,1PreHW,Mersin,40,NO,pre40NOHEAT,16,27.7,59.32,39.62,82.6,5.21,8.95,40,51.45,85.26,
Mersin1,19/09/2022,-22.14800066,0.162397685,-343.2402747,1PreHW,Mersin,40,NO,pre40NOHEAT,1,28,57.77,38.49,60.3,3.8,8.75,60,65.04,63,1.08
Mersin2,19/09/2022,-25.06820847,0.511522423,-567.9344295,1PreHW,Mersin,40,YES,pre40HEAT,2,28.2,59.37,39.64,71.7,4.46,8.36,40,155.33,104.41,0.83
Mersin3,19/09/2022,-22.62496361,0.13054121,-390.4827507,1PreHW,Mersin,40,YES,pre40HEAT,3,28.4,60.48,40.48,73.4,4.52,8.66,65,120.06,58,1.43
Mersin4,19/09/2022,-27.84852611,0.173247246,-26.58564558,1PreHW,Mersin,4,NO,pre4NOHEAT,4,27.6,7.83,4.31,102.4,7.96,10.23,100,10.34,12.2,3.33
Mersin5,19/09/2022,-28.62773352,0.22422982,-29.80689762,1PreHW,Mersin,4,NO,pre4NOHEAT,5,27.7,7.57,4.16,109.4,8.44,10.5,70,24.42,12,2.5
Mersin6,19/09/2022,-20.62918696,0.326793774,0.792317149,1PreHW,Mersin,4,YES,pre4HEAT,6,28.3,7.59,4.17,117.5,8.98,10.41,100,9.68,7.8,4.74
Mersin7,19/09/2022,-19.20720957,0.361500648,-126.4405967,1PreHW,Mersin,40,NO,pre40NOHEAT,7,28.1,60.05,40.15,76.5,4.75,8.87,70,21.28,68.91,1.32
Mersin8,19/09/2022,-21.26038643,0.873470217,-1.848928517,1PreHW,Mersin,4,YES,pre4HEAT,8,28.4,7.89,4.33,118.7,9.08,10.05,90,4.4,14,2.73
Mersin9,19/09/2022,-20.35467601,0.624643923,-212.2650037,1PreHW,Mersin,40,NO,pre40NOHEAT,9,28.1,60.18,40.26,79,4.89,8.82,70,101.68,95.53,1.14
Mersin10,19/09/2022,-22.03966204,0.553603406,-4.911983085,1PreHW,Mersin,4,YES,pre4HEAT,10,28.5,7.79,4.29,112.8,8.66,9.95,110,52.14,34.4,2.69
Mersin11,19/09/2022,-21.93828443,0.562545254,-4.052560187,1PreHW,Mersin,4,NO,pre4NOHEAT,11,28.1,7.57,4.16,127.2,9.77,10.14,90,21.12,13.6,2.76
Mersin12,19/09/2022,-21.08600908,0.584847013,-0.700541036,1PreHW,Mersin,4,NO,pre4NOHEAT,12,28.1,7.84,4.31,117.4,8.98,10.31,70,15.18,14.4,3
Mersin13,19/09/2022,-19.74656754,0.318616933,-177.1641477,1PreHW,Mersin,40,YES,pre40HEAT,13,28.5,61.38,41.18,81.2,5,8.87,60,192.13,103.61,1.63
Mersin14,19/09/2022,-18.54921023,1.061877585,-92.03537786,1PreHW,Mersin,40,YES,pre40HEAT,14,28.7,59.03,39.36,61.5,3.8,8.55,40,168.42,114.55,0.73
Mersin15,19/09/2022,-22.10654883,0.87538174,-5.183716313,1PreHW,Mersin,4,YES,pre4HEAT,15,28.4,7.6,4.17,104.6,8.01,10.21,70,11,19,2.92
Mersin16,19/09/2022,,,,1PreHW,Mersin,40,NO,pre40NOHEAT,16,28.2,59.82,39.98,89.5,5.55,8.73,35,174.84,193.5,0.97
Mersin1,22/09/2022,-26.18932155,0.126865463,-578.811597,2HW,Mersin,40,NO,HW40NOHEAT,1,26,57.38,38.2,66.6,4.33,8.37,55,108.17,78.95,
Mersin2,22/09/2022,-19.47308594,0.495634572,-146.2980085,2HW,Mersin,40,YES,HW40HEAT,2,28.1,58.48,39.23,66.7,4.14,8.07,35,205.17,143.08,
Mersin3,22/09/2022,-22.56122892,0.1427937,-377.1824918,2HW,Mersin,40,YES,HW40HEAT,3,28.1,60.26,40.32,64,3.95,8.31,55,130.55,76.92,
Mersin4,22/09/2022,-24.02747134,0.157914957,-8.872368891,2HW,Mersin,4,NO,HW4NOHEAT,4,26,7.95,4.38,89.7,7.14,9.9,80,13.86,12.2,
Mersin5,22/09/2022,-21.64905993,0.219973836,1.032319457,2HW,Mersin,4,NO,HW4NOHEAT,5,25.7,7.42,4.08,96.6,7.7,10.11,75,21.12,18,
Mersin6,22/09/2022,-20.05056727,0.516672335,3.556241676,2HW,Mersin,4,YES,HW4HEAT,6,28,7.5,4.12,115,8.84,10.08,80,8.14,7.8,
Mersin7,22/09/2022,-20.97130643,0.389681375,-202.9657498,2HW,Mersin,40,NO,HW40NOHEAT,7,26.1,59.96,40.15,74.1,4.75,8.56,55,64.39,82.57,
Mersin8,22/09/2022,-20.3027215,0.761386837,3.18911753,2HW,Mersin,4,YES,HW4HEAT,8,27.6,7.47,4.1,111.3,8.59,9.74,70,11,12.8,
Mersin9,22/09/2022,-21.2033077,0.739036451,-222.5075959,2HW,Mersin,40,NO,HW40NOHEAT,9,26.2,58.53,39.07,88.1,5.65,8.64,45,143.88,74.76,
Mersin10,22/09/2022,-20.16691776,0.641563414,3.101949416,2HW,Mersin,4,YES,HW4HEAT,10,28,7.55,4.14,105.2,8.08,9.65,100,57.62,26.2,
Mersin11,22/09/2022,-27.29856113,0.578598286,-21.76543876,2HW,Mersin,4,NO,HW4NOHEAT,11,26,7.39,4.06,111.1,8.82,9.99,70,28.6,15.6,
Mersin12,22/09/2022,-21.2183952,0.519958273,2.040709691,2HW,Mersin,4,NO,HW4NOHEAT,12,26.1,7.62,4.2,105.4,8.32,10.11,60,31.68,14.8,
Mersin13,22/09/2022,-20.56395957,0.375591012,-222.4296504,2HW,Mersin,40,YES,HW40HEAT,13,27.9,60.84,40.75,68.9,4.23,8.57,50,173.25,72,
Mersin14,22/09/2022,-22.15762712,0.584606538,-346.8915246,2HW,Mersin,40,YES,HW40HEAT,14,28.1,59.24,39.55,51.9,3.23,8.25,45,148.12,84.5,
Mersin15,22/09/2022,-24.61937254,1.191466482,-14.47718585,2HW,Mersin,4,YES,HW4HEAT,15,28,7.55,4.14,96.8,7.48,9.98,110,9.46,8.4,
Mersin16,22/09/2022,-20.23803772,0.664045793,-149.5833691,2HW,Mersin,40,NO,HW40NOHEAT,16,26.1,59.53,39.81,88,5.63,8.62,35,177.83,162.5,
Mersin1,26/09/2022,-22.4726036,0.119513969,-227.953282,2HW,Mersin,40,NO,HW40NOHEAT,1,23.3,59.5,39.87,72.8,4.98,8.82,40,104.13,105.67,0.91
Mersin2,26/09/2022,-19.10700162,0.340671415,-149.1136043,2HW,Mersin,40,YES,HW40HEAT,2,29.3,61.84,41.47,75.1,4.63,8.54,30,147.89,234.29,0.53
Mersin3,26/09/2022,-23.90539862,0.029458167,-514.1184976,2HW,Mersin,40,YES,HW40HEAT,3,29.3,63.52,42.73,83,5.09,8.83,60,95.04,65.4,0.86
Mersin4,26/09/2022,-28.44355929,0.079910652,-21.38864509,2HW,Mersin,4,NO,HW4NOHEAT,4,23.3,7.71,4.27,93.5,7.94,10.65,80,5.5,6.2,3.33
Mersin5,26/09/2022,-29.57323792,0.187462415,-22.10870898,2HW,Mersin,4,NO,HW4NOHEAT,5,23.2,7.71,4.27,98.8,8.25,10.86,90,4.84,6.6,3.33
Mersin6,26/09/2022,-24.75590698,0.367923314,-16.55763755,2HW,Mersin,4,YES,HW4HEAT,6,29,7.9,4.34,107,8.05,10.62,70,12.1,12.8,3.08
Mersin7,26/09/2022,-27.65570542,0.283084712,-597.2799649,2HW,Mersin,40,NO,HW40NOHEAT,7,23.5,62.09,41.83,78.1,5.2,8.97,45,70.61,129.5,0.95
Mersin8,26/09/2022,-27.82556195,0.812900213,-30.46189376,2HW,Mersin,4,YES,HW4HEAT,8,28.9,7.8,4.29,102.8,7.78,10.23,40,9.46,15.6,2.58
Mersin9,26/09/2022,-27.42486003,0.373140514,-584.8032876,2HW,Mersin,40,NO,HW40NOHEAT,9,23.6,60.84,40.94,78.3,5.06,9,40,101.2,139.55,0.89
Mersin10,26/09/2022,-27.99633379,0.770827271,-29.64536464,2HW,Mersin,4,YES,HW4HEAT,10,29.2,7.77,4.26,96.9,7.38,10.28,110,29.92,11,2.8
Mersin11,26/09/2022,-30.72986679,0.354004196,-30.5786626,2HW,Mersin,4,NO,HW4NOHEAT,11,23.4,7.66,4.24,101.7,8.5,10.69,65,31.24,18.4,2.96
Mersin12,26/09/2022,-29.20809195,0.584506762,-24.58273296,2HW,Mersin,4,NO,HW4NOHEAT,12,23.4,8.16,4.55,102.9,8.56,10.76,70,9.24,8.8,3.23
Mersin13,26/09/2022,-17.82183971,0.376203636,-44.26418528,2HW,Mersin,40,YES,HW40HEAT,13,29,63.93,43.08,66.5,4.03,8.77,70,115.69,115.77,0.7
Mersin14,26/09/2022,-22.35999415,0.540756069,-399.4740827,2HW,Mersin,40,YES,HW40HEAT,14,29.4,62.38,41.87,50.9,3.05,8.49,45,154.76,96.06,0.43
Mersin15,26/09/2022,-20.4806097,1.219352634,-0.124641994,2HW,Mersin,4,YES,HW4HEAT,15,29.3,7.97,4.39,95.6,7.21,10.48,90,13.2,13.2,3.08
Mersin16,26/09/2022,-20.44190128,0.614475698,-94.58549609,2HW,Mersin,40,NO,HW40NOHEAT,16,23.6,61.72,41.55,89.9,6.13,9.08,30,199.38,243.85,1.35
Mersin1,29/09/2022,-15.99443851,0.475933637,195.8917597,2HW,Mersin,40,NO,HW40NOHEAT,1,24.5,58.36,39.98,90,5.98,8.6,45,105.97,98.97,
Mersin2,29/09/2022,,,,2HW,Mersin,40,YES,HW40HEAT,2,29.7,58.25,38.74,102.9,6.25,8.46,35,165,241.67,
Mersin3,29/09/2022,-17.30497566,0.250615613,-28.10123472,2HW,Mersin,40,YES,HW40HEAT,3,30,59.05,39.33,133.2,8.15,8.71,55,113.19,79.14,
Mersin4,29/09/2022,-13.49362677,0.078674964,1.297579769,2HW,Mersin,4,NO,HW4NOHEAT,4,24.1,7.25,3.98,120.1,9.83,10.46,60,6.38,7.8,
Mersin5,29/09/2022,-25.03231898,0.176996454,-9.452334532,2HW,Mersin,4,NO,HW4NOHEAT,5,24.1,7.3,4.02,111,9.09,10.6,110,4.18,10.6,
Mersin6,29/09/2022,-17.8883045,0.347606114,8.22619125,2HW,Mersin,4,YES,HW4HEAT,6,30.6,7.32,4,125,9.15,10.28,70,7.92,7.6,
Mersin7,29/09/2022,-19.67750053,0.258579732,-63.07831332,2HW,Mersin,40,NO,HW40NOHEAT,7,24.4,57.96,38.68,98.4,6.59,8.79,65,69.3,114.23,
Mersin8,29/09/2022,-18.55802827,0.670136975,7.012982377,2HW,Mersin,4,YES,HW4HEAT,8,29.6,7.37,4.03,112.8,8.4,9.85,55,11.22,12.2,
Mersin9,29/09/2022,-20.44239915,0.348635534,-117.3968804,2HW,Mersin,40,NO,HW40NOHEAT,9,24.4,58.59,39.15,90.1,5.94,8.76,45,77,148.24,
Mersin10,29/09/2022,-18.55364787,0.654146156,5.4641591,2HW,Mersin,4,YES,HW4HEAT,10,30.7,7.36,4.02,118.7,8.66,10.04,110,50.38,8,
Mersin11,29/09/2022,-22.14058522,0.338608516,1.748784833,2HW,Mersin,4,NO,HW4NOHEAT,11,24.2,7.21,3.96,111,9.1,10.37,65,26.4,12,
Mersin12,29/09/2022,-21.73792354,0.340452022,3.335979611,2HW,Mersin,4,NO,HW4NOHEAT,12,24.2,7.46,4.11,113.4,9.28,10.46,75,4.18,9.4,
Mersin13,29/09/2022,-21.92290081,0.489914945,-483.6283315,2HW,Mersin,40,YES,HW40HEAT,13,30,59.21,39.35,94.2,5.69,8.63,50,166.69,116.36,
Mersin14,29/09/2022,-21.72081914,0.357212277,-373.0685854,2HW,Mersin,40,YES,HW40HEAT,14,30.2,58.41,38.82,84.1,5.06,8.36,40,196.37,131.43,
Mersin15,29/09/2022,-23.97975884,1.198867404,-15.25974203,2HW,Mersin,4,YES,HW4HEAT,15,30.2,7.32,4,121.8,9.08,10.22,90,12.32,9.4,
Mersin16,29/09/2022,-23.6027079,0.489914945,-347.6856758,2HW,Mersin,40,NO,HW40NOHEAT,16,24.6,58.6,39.15,105.5,6.93,8.86,30,163.63,587.5,
Mersin1,03/10/2022,-21.20634796,0.079693377,-219.8589083,2HW,Mersin,40,NO,HW40NOHEAT,1,26.1,59.13,39.6,80.2,5.13,8.32,40,140.07,105.6,1.69
Mersin2,03/10/2022,-17.70345456,0.327193676,-107.0336213,2HW,Mersin,40,YES,HW40HEAT,2,32.1,60.15,40.14,77.8,4.55,8.25,30,154.79,308.18,1.18
Mersin3,03/10/2022,-18.75575258,0.16178506,-195.0579851,2HW,Mersin,40,YES,HW40HEAT,3,32.3,60.76,40.53,61.2,3.54,8.28,45,75.53,82.12,0.93
Mersin4,03/10/2022,-25.85572958,0.105080627,-15.72130575,2HW,Mersin,4,NO,HW4NOHEAT,4,25.8,7.38,4.05,99.4,7.91,10.33,55,5.94,6.8,3.08
Mersin5,03/10/2022,-27.89998589,0.221198023,-23.96675802,2HW,Mersin,4,NO,HW4NOHEAT,5,25.9,7.44,4.09,103.3,8.18,10.53,115,1.98,8.6,2.5
Mersin6,03/10/2022,-19.78598497,0.488467259,-1.049297998,2HW,Mersin,4,YES,HW4HEAT,6,31.9,7.57,4.14,106.2,7.6,10.14,90,5.94,8.4,2.7
Mersin7,03/10/2022,-18.96909965,0.359662775,-67.75332537,2HW,Mersin,40,NO,HW40NOHEAT,7,26.5,58.94,39.36,85.5,5.47,8.75,40,84.92,150.53,1.9
Mersin8,03/10/2022,-19.25125276,0.541340549,1.204970395,2HW,Mersin,4,YES,HW4HEAT,8,31.8,7.59,4.13,95.5,6.85,9.74,50,6.82,8.6,1.96
Mersin9,03/10/2022,-18.38837239,0.284922585,-20.16995827,2HW,Mersin,40,NO,HW40NOHEAT,9,26.3,59.52,39.81,84.9,5.45,8.77,35,130.66,169.33,2
Mersin10,03/10/2022,-22.69216324,0.707592333,-12.39475567,2HW,Mersin,4,YES,HW4HEAT,10,31.8,7.73,4.18,105.7,7.53,9.94,120,8.14,12.4,2.65
Mersin11,03/10/2022,-27.33178078,0.36375835,-20.67946636,2HW,Mersin,4,NO,HW4NOHEAT,11,25.3,7.35,4.04,87.1,6.93,10.19,95,13.64,12,3.33
Mersin12,03/10/2022,-21.74739986,0.298610305,0.287709685,2HW,Mersin,4,NO,HW4NOHEAT,12,25.9,7.59,4.18,103.8,8.26,10.43,85,4.4,7,3.08
Mersin13,03/10/2022,-17.28170793,0.292886704,-67.06867061,2HW,Mersin,40,YES,HW40HEAT,13,32.3,61.3,40.92,64.2,3.73,8.44,50,144.18,100,1.67
Mersin14,03/10/2022,-18.10592726,0.890924307,-143.3247714,2HW,Mersin,40,YES,HW40HEAT,14,32.3,60.14,40.06,58.4,3.41,8.2,30,200.54,136.96,1.21
Mersin15,03/10/2022,-24.49131844,0.23765152,-20.03149499,2HW,Mersin,4,YES,HW4HEAT,15,32.2,7.49,4.08,109.1,7.36,10.13,80,7.48,12.2,3.16
Mersin16,03/10/2022,-22.30140823,0.22978638,-314.0957209,2HW,Mersin,40,NO,HW40NOHEAT,16,26.6,59.61,39.8,114.6,7.35,8.95,25,191.4,450,1.86
Mersin1,06/10/2022,-24.13735617,0.308814941,-407.8944247,2HW,Mersin,40,NO,HW40NOHEAT,1,25.3,59.69,39.96,80.1,5.22,8.42,35,116.37,153.68,
Mersin2,06/10/2022,,0.541391583,,2HW,Mersin,40,YES,HW40HEAT,2,30.5,60.58,40.5,71.6,4.26,8.31,25,129.56,335,
Mersin3,06/10/2022,-18.23824032,0.148307321,-116.4199951,2HW,Mersin,40,YES,HW40HEAT,3,30.7,61.56,41.24,65.8,3.88,8.34,55,65.12,102,
Mersin4,06/10/2022,-21.41669908,0.144411981,2.98710082,2HW,Mersin,4,NO,HW4NOHEAT,4,25.1,7.66,4.22,92.7,7.5,10.11,60,3.96,6.6,
Mersin5,06/10/2022,-21.99888136,0.304175876,1.218945535,2HW,Mersin,4,NO,HW4NOHEAT,5,24.8,7.49,4.13,94.7,7.67,10.38,95,1.76,7.2,
Mersin6,06/10/2022,-19.52140615,0.511449284,1.650226876,2HW,Mersin,4,YES,HW4HEAT,6,30.7,7.66,4.19,84.2,6.12,9.95,65,8.58,3.2,
Mersin7,06/10/2022,-19.59048468,0.274507969,-81.17627016,2HW,Mersin,40,NO,HW40NOHEAT,7,25.3,59.27,39.59,82.1,5.37,8.78,40,89,174.62,
Mersin8,06/10/2022,-20.35003658,0.370961104,-0.640041769,2HW,Mersin,4,YES,HW4HEAT,8,30,7.85,4.31,84.1,6.16,9.62,75,5.72,6.8,
Mersin9,06/10/2022,-23.78284973,0.306977067,-379.2246976,2HW,Mersin,40,NO,HW40NOHEAT,9,25.2,59.72,39.99,81.3,5.33,8.84,30,129,252,
Mersin10,06/10/2022,-18.53163784,0.551601802,6.114199554,2HW,Mersin,4,YES,HW4HEAT,10,30.3,7.8,4.27,82.7,6.07,9.77,120,20.24,7.4,
Mersin11,06/10/2022,-22.15444513,0.369922985,0.612150386,2HW,Mersin,4,NO,HW4NOHEAT,11,24.8,7.41,4.07,74.9,6.04,10.05,85,6.6,8.4,
Mersin12,06/10/2022,-20.05911117,0.225522669,8.681641492,2HW,Mersin,4,NO,HW4NOHEAT,12,24.9,7.64,4.22,90.3,7.26,10.26,70,4.84,7.8,
Mersin13,06/10/2022,,1.020569172,,2HW,Mersin,40,YES,HW40HEAT,13,30.9,61.57,41.25,69.3,4.04,8.53,50,116.16,108.18,
Mersin14,06/10/2022,-18.66576471,0.196092032,-164.1025731,2HW,Mersin,40,YES,HW40HEAT,14,31.3,60.94,40.69,56,3.28,8.21,30,122.83,130,
Mersin15,06/10/2022,,,,2HW,Mersin,4,YES,HW4HEAT,15,30.9,7.79,4.25,80.6,5.88,9.88,55,8.14,13.4,
Mersin16,06/10/2022,-19.46224429,0.58969065,-69.34736307,2HW,Mersin,40,NO,HW40NOHEAT,16,25.2,59.88,40.11,92.8,6.01,8.96,20,100.83,450,
Mersin1,10/10/2022,-23.02081652,0.074179756,-256.8855331,3PostHW,Mersin,40,NO,post40NOHEAT,1,23,56.86,37.87,80.6,5.55,8.37,30,97.35,156.11,
Mersin2,10/10/2022,-18.93131577,0.214470767,-7.405797581,3PostHW,Mersin,40,YES,post40HEAT,2,24.3,58.4,39.2,113.4,7.62,8.56,35,225,225.38,
Mersin3,10/10/2022,-20.37828849,0.083369124,-109.9656622,3PostHW,Mersin,40,YES,post40HEAT,3,24.3,58.93,39.42,80,5.34,8.45,35,132,159.33,
Mersin4,10/10/2022,-21.61161633,0.104501634,6.889875152,3PostHW,Mersin,4,NO,post4NOHEAT,4,22.6,7.4,4.07,103.2,8.72,10.04,100,6.38,9.8,
Mersin5,10/10/2022,-21.21694896,0.272297118,8.621969868,3PostHW,Mersin,4,NO,post4NOHEAT,5,22.5,7.14,3.93,104.9,8.88,10.34,90,1.32,8.8,
Mersin6,10/10/2022,-24.44124619,0.255653647,-7.120005985,3PostHW,Mersin,4,YES,post4HEAT,6,24.1,7.32,4.03,96.5,7.92,9.83,80,2.42,7.6,
Mersin7,10/10/2022,-23.87118268,0.262868103,-312.96977,3PostHW,Mersin,40,NO,post40NOHEAT,7,22.9,56.34,37.48,94.6,6.55,8.72,25,88.73,227,
Mersin8,10/10/2022,-27.43760842,0.373635131,-19.11753586,3PostHW,Mersin,4,YES,post4HEAT,8,24.2,7.33,4.03,95.8,7.85,9.57,85,6.38,9.4,
Mersin9,10/10/2022,-23.66874436,0.279408965,-295.6823825,3PostHW,Mersin,40,NO,post40NOHEAT,9,22.8,56.83,37.85,92.8,6.42,8.85,20,138.6,365,
Mersin10,10/10/2022,-21.8345406,0.499657428,2.603885012,3PostHW,Mersin,4,YES,post4HEAT,10,24.4,7.36,4.07,99.1,8.1,9.74,90,11.22,11.4,
Mersin11,10/10/2022,-22.72214848,0.333158122,3.297186805,3PostHW,Mersin,4,NO,post4NOHEAT,11,22.2,7.04,3.87,89.5,7.62,9.92,85,8.14,9.8,
Mersin12,10/10/2022,-22.29534839,0.23357536,4.378363984,3PostHW,Mersin,4,NO,post4NOHEAT,12,22.5,7.28,4.01,101.5,8.59,10.13,100,1.98,10.2,
Mersin13,10/10/2022,-20.27015996,0.491185974,-105.1752028,3PostHW,Mersin,40,YES,post40HEAT,13,24.4,59.88,40.11,72.7,4.81,8.46,45,146.44,114.58,
Mersin14,10/10/2022,-21.01355158,0.140955827,-160.7983199,3PostHW,Mersin,40,YES,post40HEAT,14,24.5,58.49,39.07,76.9,5.13,8.33,30,170.92,185,
Mersin15,10/10/2022,-27.52025077,0.825411879,-19.43497481,3PostHW,Mersin,4,YES,post4HEAT,15,24.2,7.35,4.08,98.5,8.07,9.81,85,5.94,12.6,
Mersin16,10/10/2022,-19.96879863,0.300238198,-44.65522899,3PostHW,Mersin,40,NO,post40NOHEAT,16,23,56.9,37.91,131.7,9.09,9.03,15,128.21,333.75,
Mersin1,13/10/2022,-19.46798028,0.052737898,6.87186218,3PostHW,Mersin,40,NO,post40NOHEAT,1,22.4,57.5,38.37,81.3,5.65,8.76,30,108.43,138.89,1.48
Mersin2,13/10/2022,-19.74419226,0.212020269,-15.01077832,3PostHW,Mersin,40,YES,post40HEAT,2,22.5,59.03,39.52,123.4,8.48,9.1,10,188.38,337.14,1.63
Mersin3,13/10/2022,-19.94665217,0.069891385,-29.02880016,3PostHW,Mersin,40,YES,post40HEAT,3,22.5,59.58,39.94,83.9,5.76,8.84,30,148.92,182.86,1.03
Mersin4,13/10/2022,-22.20976962,0.09283561,6.7566491,3PostHW,Mersin,4,NO,post4NOHEAT,4,21.5,7.14,3.95,105.4,9.07,10.56,120,8.14,6.8,3.23
Mersin5,13/10/2022,-22.90949376,0.240357311,3.373271204,3PostHW,Mersin,4,NO,post4NOHEAT,5,21.8,7.24,3.99,110.9,9.52,10.88,120,0.22,5.6,3.33
Mersin6,13/10/2022,-24.76311922,0.245877112,-4.75684642,3PostHW,Mersin,4,YES,post4HEAT,6,22.2,7.43,4.11,115.2,9.82,10.4,120,2.86,7.8,3.24
Mersin7,13/10/2022,-21.44389827,0.317391684,-126.2408371,3PostHW,Mersin,40,NO,post40NOHEAT,7,22.3,56.86,37.85,108.8,7.59,9.19,30,78.83,174.55,1.9
Mersin8,13/10/2022,-24.03034577,0.255096937,-1.852113125,3PostHW,Mersin,4,YES,post4HEAT,8,22.2,7.29,4.02,108.2,8.22,10.1,120,7.26,9,2.79
Mersin9,13/10/2022,-24.39207136,0.231011629,-326.2257477,3PostHW,Mersin,40,NO,post40NOHEAT,9,22.2,57.43,38.29,100.7,7.02,9.31,30,114.71,341.43,2.54
Mersin10,13/10/2022,-25.01983154,0.619671151,-5.547890425,3PostHW,Mersin,4,YES,post4HEAT,10,22.1,7.54,4.21,92.4,7.87,10.13,120,12.76,9,3.06
Mersin11,13/10/2022,-28.52723888,0.329508465,-17.70761258,3PostHW,Mersin,4,NO,post4NOHEAT,11,21.3,7.11,3.92,95.3,8.27,10.35,100,6.82,7.2,2.33
Mersin12,13/10/2022,-25.96091013,0.213297763,-9.657025839,3PostHW,Mersin,4,NO,post4NOHEAT,12,22.3,7.38,4.07,121,10.37,10.72,80,4.84,3,3.53
Mersin13,13/10/2022,-21.44675905,0.388456126,-138.6603142,3PostHW,Mersin,40,YES,post40HEAT,13,22.7,60.32,40.46,72,5.03,8.82,40,95.87,102.86,1.36
Mersin14,13/10/2022,-20.1240309,0.154433566,-49.81708565,3PostHW,Mersin,40,YES,post40HEAT,14,22.8,59.13,39.59,85.4,5.83,8.73,20,191.58,193.6,1.29
Mersin15,13/10/2022,-32.33968565,0.71211814,-34.55236824,3PostHW,Mersin,4,YES,post4HEAT,15,22.2,7.63,4.2,112.6,9.57,10.3,90,5.72,9,3.06
Mersin16,13/10/2022,-28.26676199,0.298400324,-600.2628113,3PostHW,Mersin,40,NO,post40NOHEAT,16,22.4,57.5,38.36,131.3,9.12,9.44,10,117.33,441.67,
Mersin1,17/10/2022,-23.83863103,0.039872784,-249.2487818,3PostHW,Mersin,40,NO,post40NOHEAT,1,21,57.05,38.04,73,5.2,8.35,30,110.72,154.74,
Mersin2,17/10/2022,-17.63163536,0.218759139,176.0915059,3PostHW,Mersin,40,YES,post40HEAT,2,20.8,58.52,39.15,80.6,5.74,8.66,20,126.5,438.75,
Mersin3,17/10/2022,-22.89620626,0.077855503,-182.2105543,3PostHW,Mersin,40,YES,post40HEAT,3,20.9,59.08,39.57,82,5.77,8.5,30,126.87,203.85,
Mersin4,17/10/2022,-26.6624092,0.076243736,-9.511235049,3PostHW,Mersin,4,NO,post4NOHEAT,4,20.9,7.33,4.01,101.8,8.92,10.12,100,5.99,7.6,
Mersin5,17/10/2022,-19.55294913,0.281578309,18.67133193,3PostHW,Mersin,4,NO,post4NOHEAT,5,20.8,6.59,3.95,106.8,9.33,10.45,120,6.58,4.6,
Mersin6,17/10/2022,-17.78252241,0.218256849,25.64517411,3PostHW,Mersin,4,YES,post4HEAT,6,20.8,7.36,4.07,101.6,8.81,9.99,100,2.86,10,
Mersin7,17/10/2022,-21.51384751,0.183839542,-85.81374637,3PostHW,Mersin,40,NO,post40NOHEAT,7,20.8,57.36,38.1,99.6,7.11,8.93,30,40.33,228.89,
Mersin8,17/10/2022,-19.4057422,0.325837457,19.02689045,3PostHW,Mersin,4,YES,post4HEAT,8,20.9,7.28,4.01,101.5,8.83,9.85,120,12.13,11.4,
Mersin9,17/10/2022,-22.04134016,0.205894024,-121.3088003,3PostHW,Mersin,40,NO,post40NOHEAT,9,20.8,56.3,37.94,95.4,6.77,9.08,25,85.25,227.78,
Mersin10,17/10/2022,2.008588225,0.24407725,103.5121977,3PostHW,Mersin,4,YES,post4HEAT,10,20.8,7.72,4.21,83.9,7.26,9.75,120,14.08,6.4,
Mersin11,17/10/2022,-3.693924173,0.233632397,81.50477904,3PostHW,Mersin,4,NO,post4NOHEAT,11,20.6,6.46,3.91,90.3,7.96,9.99,120,8.76,5.8,
Mersin12,17/10/2022,-20.21714259,0.223180988,16.47792436,3PostHW,Mersin,4,NO,post4NOHEAT,12,20.6,7.31,4.04,96.3,8.43,10.21,120,5.54,7,
Mersin13,17/10/2022,-17.39672976,0.482924291,191.9436659,3PostHW,Mersin,40,YES,post40HEAT,13,20.8,59.83,40.14,53,3.75,8.48,40,97.9,167.14,
Mersin14,17/10/2022,-18.50548006,0.117063471,111.8859288,3PostHW,Mersin,40,YES,post40HEAT,14,21,58.67,39.25,70.7,5.05,8.4,25,165.85,347.14,
Mersin15,17/10/2022,-20.24793579,0.692480947,15.93160821,3PostHW,Mersin,4,YES,post4HEAT,15,20.8,7.66,4.23,91.5,8.07,9.93,120,5.72,6.2,
Mersin16,17/10/2022,-21.22762776,0.318616933,-63.44883661,3PostHW,Mersin,40,NO,post40NOHEAT,16,20.7,57,38.05,99.7,7.08,9.1,20,154,441.67,
Mersin1,20/10/2022,-22.27515268,0.070504009,-186.7271379,3PostHW,Mersin,40,NO,post40NOHEAT,1,22.4,58.02,38.76,94.5,6.55,8.39,30,121.69,150,1.72
Mersin2,20/10/2022,-19.86616248,0.226723257,-14.69398866,3PostHW,Mersin,40,YES,post40HEAT,2,22.2,57.34,38.25,118.9,8.31,8.73,15,124.14,456,2.16
Mersin3,20/10/2022,-20.45308282,0.076630254,-58.1441829,3PostHW,Mersin,40,YES,post40HEAT,3,22.3,58.07,38.8,114.1,7.93,8.62,30,116.77,171.54,2
